Starting/resuming at k=0, theta=[50.0, 50.0]
iter 56/200 c_k=16.65 a_k=1.33 delta=[1, -1] plus=[66.6, 33.3] minus=[33.3, 66.6] score=0.375 (n=12) -> theta=[50.0, 50.0] [13s]
iter 57/200 c_k=16.62 a_k=1.32 delta=[-1, 1] plus=[33.4, 66.6] minus=[66.6, 33.4] score=0.500 (n=12) -> theta=[50.0, 50.0] [11s]
iter 58/200 c_k=16.59 a_k=1.31 delta=[-1, 1] plus=[33.4, 66.6] minus=[66.6, 33.4] score=0.500 (n=12) -> theta=[50.0, 50.0] [13s]
iter 59/200 c_k=16.56 a_k=1.30 delta=[-1, -1] plus=[33.4, 33.4] minus=[66.5, 66.6] score=0.333 (n=12) -> theta=[50.0, 50.0] [12s]
iter 60/200 c_k=16.53 a_k=1.29 delta=[-1, 1] plus=[33.5, 66.5] minus=[66.5, 33.5] score=0.625 (n=12) -> theta=[50.0, 50.0] [10s]
iter 61/200 c_k=16.51 a_k=1.28 delta=[-1, -1] plus=[33.5, 33.5] minus=[66.5, 66.5] score=0.500 (n=12) -> theta=[50.0, 50.0] [15s]
iter 62/200 c_k=16.48 a_k=1.27 delta=[-1, 1] plus=[33.5, 66.5] minus=[66.5, 33.5] score=0.542 (n=12) -> theta=[50.0, 50.0] [13s]
iter 63/200 c_k=16.45 a_k=1.26 delta=[-1, 1] plus=[33.5, 66.5] minus=[66.4, 33.6] score=0.500 (n=12) -> theta=[50.0, 50.0] [13s]
iter 64/200 c_k=16.43 a_k=1.25 delta=[1, -1] plus=[66.4, 33.6] minus=[33.6, 66.5] score=0.458 (n=12) -> theta=[50.0, 50.0] [17s]
iter 65/200 c_k=16.40 a_k=1.24 delta=[1, -1] plus=[66.4, 33.6] minus=[33.6, 66.4] score=0.583 (n=12) -> theta=[50.0, 50.0] [12s]
iter 66/200 c_k=16.37 a_k=1.23 delta=[1, -1] plus=[66.4, 33.6] minus=[33.6, 66.4] score=0.500 (n=12) -> theta=[50.0, 50.0] [13s]
iter 67/200 c_k=16.35 a_k=1.22 delta=[-1, 1] plus=[33.6, 66.4] minus=[66.3, 33.7] score=0.500 (n=12) -> theta=[50.0, 50.0] [10s]
iter 68/200 c_k=16.33 a_k=1.22 delta=[-1, -1] plus=[33.7, 33.7] minus=[66.3, 66.3] score=0.417 (n=12) -> theta=[50.0, 50.0] [15s]
iter 69/200 c_k=16.30 a_k=1.21 delta=[-1, -1] plus=[33.7, 33.7] minus=[66.3, 66.3] score=0.625 (n=12) -> theta=[50.0, 50.0] [14s]
